Date,ProductID,Zip,Units,Revenue,Cost,Currency
2020-05-19,1004,550000,42,6242970,4994376,VND
2020-10-17,1004,550000,32,4910282,3928225,VND
2020-09-09,1007,700000,23,3427520,2742016,VND
2020-09-15,1007,700000,34,5177975,4142380,VND
2020-09-22,1003,700000,32,4783608,3826886,VND
2020-11-20,1008,700000,37,5523847,4419077,VND
2020-05-03,1001,100000,38,5788349,4630679,VND
2020-02-20,1007,550000,29,4459808,3567846,VND
2020-02-18,1003,100000,32,4774451,3819560,VND
2020-07-17,1002,550000,26,3888642,3110913,VND
2020-06-22,1006,700000,37,5767338,4613870,VND
2020-05-18,1002,100000,36,5559917,4447933,VND
2020-04-06,1007,100000,29,4162471,3329976,VND
2020-01-13,1008,100000,38,5540005,4432004,VND
2020-02-26,1003,100000,32,4978198,3982558,VND
2020-12-19,1003,550000,30,4459778,3567822,VND
2020-05-27,1004,100000,34,4944019,3955215,VND
2020-09-15,1005,550000,35,5040283,4032226,VND
2020-03-19,1007,100000,35,5421651,4337320,VND
2020-05-22,1007,100000,36,5562258,4449806,VND
2020-05-13,1006,700000,38,5971272,4777017,VND
2020-02-20,1006,100000,36,5156349,4125079,VND
2020-01-08,1007,700000,36,5516392,4413113,VND
2020-08-05,1008,100000,33,4752513,3802010,VND
2020-01-09,1006,700000,47,7117812,5694249,VND
2020-11-04,1010,550000,41,6002385,4801908,VND
2020-09-11,1002,550000,31,4483224,3586579,VND
2020-09-13,1002,100000,24,3657746,2926196,VND
2020-05-06,1002,550000,32,4666307,3733045,VND
2020-09-12,1006,700000,31,4839213,3871370,VND
2020-11-03,1001,700000,35,5175883,4140706,VND
2020-09-20,1009,700000,37,5822181,4657744,VND
2020-07-23,1002,550000,38,5878724,4702979,VND
2020-05-21,1006,550000,32,4637127,3709701,VND
2020-09-09,1006,700000,45,6676566,5341252,VND
2020-02-09,1001,100000,40,5732100,4585680,VND
2020-07-25,1006,700000,34,5022352,4017881,VND
2020-10-11,1010,550000,41,5997895,4798316,VND
2020-12-21,1003,100000,27,4140277,3312221,VND
2020-03-25,1005,100000,49,7272641,5818112,VND
2020-08-20,1001,700000,36,5650260,4520208,VND
2020-06-27,1009,700000,33,4912322,3929857,VND
2020-06-05,1001,100000,36,5347592,4278073,VND
2020-11-15,1010,100000,37,5418709,4334967,VND
2020-10-19,1003,700000,30,4544147,3635317,VND
2020-05-14,1001,100000,25,3729960,2983968,VND
2020-01-14,1003,550000,28,4319149,3455319,VND
2020-05-02,1010,550000,36,5529038,4423230,VND
2020-11-07,1005,100000,41,6164022,4931217,VND
2020-06-24,1010,100000,18,2664120,2131296,VND
2020-10-25,1004,700000,30,4678999,3743199,VND
2020-01-15,1003,100000,27,3946411,3157128,VND
2020-12-06,1009,550000,31,4598034,3678427,VND
2020-10-07,1001,100000,44,6340751,5072600,VND
2020-10-28,1003,100000,29,4440538,3552430,VND
2020-12-18,1007,100000,39,5623375,4498700,VND
2020-07-07,1009,100000,36,5637008,4509606,VND
2020-12-05,1004,100000,32,4755898,3804718,VND
2020-12-14,1004,100000,44,6809776,5447820,VND
2020-12-12,1007,100000,44,6622130,5297704,VND
2020-09-25,1010,700000,40,6123215,4898572,VND
2020-11-15,1005,550000,24,3705926,2964740,VND
2020-06-19,1003,700000,25,3562855,2850284,VND
2020-11-11,1006,100000,24,3496308,2797046,VND
2020-11-10,1008,550000,37,5343401,4274720,VND
2020-09-05,1007,550000,40,5803197,4642557,VND
2020-08-04,1004,550000,38,5460466,4368372,VND
2020-09-03,1002,100000,43,6688543,5350834,VND
2020-05-01,1009,100000,37,5388361,4310688,VND
2020-11-21,1010,700000,32,4941441,3953152,VND
2020-02-06,1007,700000,32,4734834,3787867,VND
2020-01-11,1010,550000,35,5363313,4290650,VND
2020-10-04,1007,100000,28,3994971,3195976,VND
2020-07-27,1008,550000,40,5812998,4650398,VND
2020-11-24,1004,700000,27,4243520,3394816,VND
2020-03-18,1006,700000,38,5684346,4547476,VND
2020-01-12,1008,700000,33,4921847,3937477,VND
2020-10-11,1004,550000,47,7220352,5776281,VND
2020-01-01,1001,550000,41,5985796,4788636,VND
2020-11-19,1008,100000,31,4453147,3562517,VND
2020-11-01,1010,100000,30,4664072,3731257,VND
2020-05-12,1005,100000,32,4623719,3698975,VND
2020-05-12,1007,700000,36,5531606,4425284,VND
2020-05-16,1004,700000,36,5148026,4118420,VND
2020-09-05,1007,550000,32,4716536,3773228,VND
2020-09-14,1007,700000,39,6060288,4848230,VND
2020-05-23,1008,100000,32,4886078,3908862,VND
2020-06-17,1003,550000,37,5311232,4248985,VND
2020-03-10,1002,100000,31,4754916,3803932,VND
2020-08-10,1010,100000,33,4994641,3995712,VND
2020-06-22,1008,100000,29,4146952,3317561,VND
2020-05-06,1006,100000,30,4550193,3640154,VND
2020-04-23,1004,100000,35,5266395,4213116,VND
2020-11-08,1002,700000,33,4722673,3778138,VND
2020-09-08,1010,100000,30,4652146,3721716,VND
2020-12-01,1009,550000,21,3112480,2489984,VND
2020-12-04,1001,700000,33,5108714,4086971,VND
2020-02-26,1010,700000,34,4975343,3980274,VND
2020-05-18,1006,100000,33,5181070,4144856,VND
2020-04-28,1010,100000,28,4141239,3312991,VND
2020-07-11,1010,550000,46,6731084,5384867,VND
2020-11-04,1009,100000,34,5216585,4173268,VND
2020-05-20,1002,550000,36,5524724,4419779,VND
2020-01-28,1009,700000,31,4575762,3660609,VND
2020-06-16,1006,550000,32,4870115,3896092,VND
2020-08-20,1001,100000,33,5053981,4043184,VND
2020-12-09,1010,700000,39,5882874,4706299,VND
2020-05-26,1005,100000,39,5894955,4715964,VND
2020-09-16,1002,700000,30,4403859,3523087,VND
2020-03-28,1005,700000,26,3890992,3112793,VND
2020-07-08,1010,700000,31,4777188,3821750,VND
2020-08-11,1003,550000,43,6410546,5128436,VND
2020-11-23,1005,550000,37,5624746,4499796,VND
2020-04-01,1002,100000,35,5377891,4302312,VND
2020-06-22,1005,550000,33,5163581,4130864,VND
2020-04-28,1010,550000,35,5185360,4148288,VND
2020-02-23,1009,700000,37,5330948,4264758,VND
2020-08-11,1009,700000,24,3658498,2926798,VND
2020-04-05,1008,700000,41,5971045,4776836,VND
2020-01-09,1007,700000,30,4371088,3496870,VND
2020-08-19,1007,100000,40,6252177,5001741,VND
2020-11-21,1006,700000,34,5082058,4065646,VND
2020-05-24,1008,550000,51,7458081,5966464,VND
2020-03-07,1009,700000,30,4655224,3724179,VND
2020-06-06,1005,100000,36,5666184,4532947,VND
2020-05-21,1001,700000,40,5912203,4729762,VND
2020-12-16,1002,100000,27,4162824,3330259,VND
2020-12-13,1008,100000,32,4920048,3936038,VND
2020-03-10,1003,550000,38,5718773,4575018,VND
2020-12-23,1009,100000,29,4505942,3604753,VND
2020-04-12,1007,550000,41,6267842,5014273,VND
2020-01-17,1009,700000,35,5159430,4127544,VND
2020-06-01,1009,700000,42,6231540,4985232,VND
2020-07-03,1003,700000,33,4919947,3935957,VND
2020-12-16,1009,100000,42,6606706,5285364,VND
2020-02-18,1004,550000,28,4178185,3342548,VND
2020-06-20,1010,100000,41,5951544,4761235,VND
2020-11-12,1003,550000,34,5151514,4121211,VND
2020-10-15,1001,100000,32,4575036,3660028,VND
2020-12-20,1002,100000,21,3290435,2632348,VND
2020-03-04,1009,550000,29,4389685,3511748,VND
2020-01-20,1005,700000,43,6521744,5217395,VND
2020-05-24,1001,550000,35,5479644,4383715,VND
2020-09-07,1003,550000,48,7111290,5689032,VND
2020-12-22,1007,700000,36,5377218,4301774,VND
2020-09-12,1004,100000,38,5821280,4657024,VND
2020-12-20,1001,700000,34,5101609,4081287,VND
2020-10-02,1008,100000,39,6083095,4866476,VND
2020-11-02,1002,550000,38,5454827,4363861,VND
2020-12-23,1005,550000,28,4141361,3313088,VND
2020-11-05,1008,100000,39,5634459,4507567,VND
2020-10-23,1005,550000,29,4221773,3377418,VND
2020-07-24,1004,550000,35,5392831,4314264,VND
2020-10-21,1006,100000,40,6052130,4841704,VND
2020-07-26,1009,700000,38,5959772,4767817,VND
2020-04-23,1010,700000,28,4386865,3509492,VND
2020-09-21,1001,700000,30,4635271,3708216,VND
2020-12-18,1010,100000,29,4259708,3407766,VND
2020-05-22,1001,700000,27,4239954,3391963,VND
2020-10-05,1009,100000,26,4013807,3211045,VND
2020-10-10,1005,100000,33,4836745,3869396,VND
2020-08-22,1006,100000,23,3465055,2772044,VND
2020-09-24,1005,100000,28,4093278,3274622,VND
2020-04-22,1003,100000,45,6946504,5557203,VND
2020-01-03,1003,700000,44,6275596,5020476,VND
2020-06-13,1003,700000,39,6024370,4819496,VND
2020-07-02,1005,550000,33,4917189,3933751,VND
2020-12-27,1002,100000,29,4405924,3524739,VND
2020-09-01,1001,550000,36,5573008,4458406,VND
2020-08-28,1004,550000,43,6575563,5260450,VND
2020-02-02,1004,700000,45,6559136,5247308,VND
2020-04-02,1004,550000,28,4039868,3231894,VND
2020-06-24,1005,100000,51,7359981,5887984,VND
2020-12-17,1003,550000,34,4848854,3879083,VND
2020-09-12,1003,550000,46,6741091,5392872,VND
2020-09-08,1007,100000,36,5254663,4203730,VND
2020-12-03,1001,100000,35,5499224,4399379,VND
2020-06-22,1009,100000,37,5410149,4328119,VND
2020-10-06,1006,700000,34,5043041,4034432,VND
2020-08-12,1002,100000,28,4299474,3439579,VND
2020-08-14,1006,550000,32,4634587,3707669,VND
2020-04-02,1002,100000,35,5379235,4303388,VND
2020-09-28,1005,550000,32,4777035,3821628,VND
2020-09-24,1009,100000,25,3612614,2890091,VND
2020-08-04,1008,700000,35,5260862,4208689,VND
2020-04-10,1001,700000,39,6031616,4825292,VND
2020-06-05,1009,100000,37,5595470,4476376,VND
2020-10-04,1003,100000,25,3603521,2882816,VND
2020-12-23,1001,100000,25,3570822,2856657,VND
2020-07-12,1003,100000,39,5826831,4661464,VND
2020-04-08,1007,100000,31,4598599,3678879,VND
2020-01-17,1003,100000,31,4578300,3662640,VND
2020-03-22,1002,550000,39,5698214,4558571,VND
2020-04-22,1003,700000,33,4968083,3974466,VND
2020-08-05,1002,100000,36,5155884,4124707,VND
2020-08-10,1007,550000,32,5010311,4008248,VND
2020-12-17,1004,550000,29,4443842,3555073,VND
2020-08-25,1005,100000,34,4985085,3988068,VND
2020-03-09,1008,700000,39,6016470,4813176,VND
2020-05-13,1001,700000,37,5401549,4321239,VND
2020-04-26,1005,550000,35,5361086,4288868,VND
2020-10-26,1005,100000,46,6885980,5508784,VND
2020-12-16,1010,100000,36,5239479,4191583,VND
2020-12-02,1006,700000,34,5226698,4181358,VND
2020-07-08,1005,100000,31,4852698,3882158,VND
2020-08-14,1001,100000,23,3459334,2767467,VND
2020-02-08,1010,100000,38,5536778,4429422,VND
2020-03-19,1003,700000,33,5195299,4156239,VND
2020-05-26,1009,700000,33,4767516,3814012,VND
2020-10-03,1009,550000,34,5101172,4080937,VND
2020-10-19,1003,550000,32,4880449,3904359,VND
2020-11-23,1007,550000,26,4031626,3225300,VND
2020-10-10,1002,700000,30,4385966,3508772,VND
2020-04-03,1010,100000,36,5422739,4338191,VND
2020-01-23,1003,700000,39,5684755,4547804,VND
2020-11-07,1004,100000,32,4746528,3797222,VND
2020-03-26,1007,100000,33,4864002,3891201,VND
2020-11-10,1001,550000,37,5756602,4605281,VND
2020-08-10,1008,550000,38,5672345,4537876,VND
2020-05-25,1007,550000,44,6296688,5037350,VND
2020-05-11,1008,100000,33,5035391,4028312,VND
2020-04-18,1008,100000,31,4452185,3561748,VND
2020-09-16,1003,550000,47,6829394,5463515,VND
2020-11-13,1001,550000,34,4955854,3964683,VND
2020-02-26,1008,700000,35,5332669,4266135,VND
2020-12-05,1009,100000,35,5282973,4226378,VND
2020-06-20,1007,700000,31,4595834,3676667,VND
2020-10-04,1007,700000,28,4110525,3288420,VND
2020-09-25,1002,100000,37,5821380,4657104,VND
2020-07-01,1010,550000,44,6527112,5221689,VND
2020-11-05,1005,550000,37,5302949,4242359,VND
2020-07-21,1001,100000,36,5510008,4408006,VND
2020-09-03,1009,700000,33,4890103,3912082,VND
2020-01-18,1007,550000,38,5552701,4442160,VND
2020-08-20,1008,700000,44,6406205,5124964,VND
2020-05-28,1010,100000,33,4826655,3861324,VND
2020-11-16,1003,700000,29,4536413,3629130,VND
2020-12-24,1002,700000,39,5868764,4695011,VND
2020-05-12,1007,700000,52,7780298,6224238,VND
2020-12-17,1006,100000,37,5470469,4376375,VND
2020-11-16,1009,700000,49,7136496,5709196,VND
2020-04-05,1004,700000,41,5988814,4791051,VND
2020-08-19,1002,550000,42,6510968,5208774,VND
2020-12-20,1003,700000,30,4486704,3589363,VND
2020-02-17,1004,100000,33,4866377,3893101,VND
2020-08-01,1002,100000,31,4436725,3549380,VND
2020-10-10,1001,700000,35,5397234,4317787,VND
2020-03-26,1008,700000,36,5165547,4132437,VND
2020-08-07,1010,100000,40,6051237,4840989,VND
2020-10-02,1008,550000,23,3506148,2804918,VND
2020-08-25,1008,550000,28,4320135,3456108,VND
2020-12-15,1009,700000,48,7003384,5602707,VND
2020-11-22,1010,700000,28,4059602,3247681,VND
2020-08-21,1002,100000,31,4702595,3762076,VND
2020-09-10,1006,550000,37,5507551,4406040,VND
2020-05-27,1002,550000,32,4799954,3839963,VND
2020-04-10,1004,550000,37,5772576,4618060,VND
2020-12-28,1003,700000,40,5784129,4627303,VND
2020-12-18,1001,550000,41,6410850,5128680,VND
2020-08-07,1005,700000,32,4708397,3766717,VND
2020-09-21,1002,100000,44,6629932,5303945,VND
2020-04-16,1006,700000,31,4502189,3601751,VND
2020-10-01,1005,550000,29,4547824,3638259,VND
2020-02-11,1010,550000,26,3956115,3164892,VND
2020-04-01,1010,100000,41,6099919,4879935,VND
2020-10-17,1009,550000,39,5849179,4679343,VND
2020-07-05,1002,100000,41,6437914,5150331,VND
2020-10-25,1005,100000,36,5169891,4135912,VND
2020-09-25,1008,100000,39,5759175,4607340,VND
2020-09-28,1005,550000,21,3027300,2421840,VND
2020-09-25,1003,700000,37,5786521,4629216,VND
2020-03-12,1005,100000,44,6893257,5514605,VND
2020-03-06,1008,550000,40,5981069,4784855,VND
2020-08-20,1008,550000,39,5606654,4485323,VND
2020-11-23,1005,100000,37,5616903,4493522,VND
2020-12-11,1010,700000,28,4146054,3316843,VND
2020-05-02,1002,100000,32,4631477,3705181,VND
2020-10-20,1001,550000,43,6223522,4978817,VND
2020-11-28,1010,550000,39,6123489,4898791,VND
2020-09-10,1003,700000,32,4947481,3957984,VND
2020-10-23,1009,700000,25,3788968,3031174,VND
2020-01-22,1008,550000,37,5658274,4526619,VND
2020-11-10,1005,700000,29,4458850,3567080,VND
2020-07-11,1001,700000,36,5309239,4247391,VND
2020-03-12,1002,100000,37,5517152,4413721,VND
2020-10-24,1010,700000,42,6352395,5081916,VND
2020-07-09,1005,550000,49,7446520,5957216,VND
2020-06-20,1006,700000,50,7644411,6115528,VND
2020-04-04,1008,700000,33,4820579,3856463,VND
2020-06-10,1006,700000,28,4317439,3453951,VND
2020-03-23,1010,700000,34,5173232,4138585,VND
2020-04-26,1006,100000,39,5584957,4467965,VND
2020-04-24,1008,100000,34,5055108,4044086,VND
2020-03-12,1008,100000,39,5978134,4782507,VND
2020-10-15,1007,100000,29,4284640,3427712,VND
2020-07-08,1007,100000,35,5107261,4085808,VND
2020-09-06,1006,100000,33,5097363,4077890,VND
2020-11-09,1007,100000,46,6787725,5430180,VND
2020-12-26,1006,100000,38,5953097,4762477,VND
2020-11-02,1003,550000,25,3610327,2888261,VND
2020-11-21,1008,550000,38,5728019,4582415,VND
2020-08-03,1007,700000,32,4788552,3830841,VND
2020-07-11,1009,100000,27,4213119,3370495,VND
2020-02-25,1003,700000,43,6569135,5255308,VND
2020-05-09,1008,700000,25,3593214,2874571,VND
2020-03-21,1003,700000,36,5329918,4263934,VND
2020-12-04,1006,550000,31,4806294,3845035,VND
2020-09-26,1003,700000,37,5607616,4486092,VND
2020-07-09,1006,100000,37,5653765,4523012,VND
2020-09-13,1009,550000,45,6818966,5455172,VND
2020-03-12,1009,700000,31,4418878,3535102,VND
2020-11-09,1003,550000,28,4143845,3315076,VND
2020-09-03,1001,100000,29,4361062,3488849,VND
2020-08-25,1009,550000,40,5740341,4592272,VND
2020-08-14,1004,100000,40,6143892,4915113,VND
2020-11-14,1003,100000,26,3966000,3172800,VND
2020-01-17,1006,100000,46,6573511,5258808,VND
2020-08-22,1003,550000,42,6194987,4955989,VND
2020-10-10,1004,700000,32,4612334,3689867,VND
2020-01-26,1005,100000,44,6434534,5147627,VND
2020-07-05,1009,100000,29,4423337,3538669,VND
2020-12-23,1005,550000,35,5451039,4360831,VND
2020-09-02,1006,700000,36,5402457,4321965,VND
2020-10-06,1005,550000,41,6450781,5160624,VND
2020-05-06,1010,100000,30,4456934,3565547,VND
2020-11-04,1001,700000,45,6514021,5211216,VND
2020-10-23,1001,550000,38,5726066,4580852,VND
2020-06-19,1002,700000,33,4994279,3995423,VND
2020-05-09,1006,100000,31,4698858,3759086,VND
2020-10-27,1001,100000,40,5821793,4657434,VND
2020-07-05,1004,100000,46,7086053,5668842,VND
2020-06-05,1009,700000,33,4751202,3800961,VND
2020-12-13,1006,100000,40,6218574,4974859,VND
2020-10-28,1004,550000,43,6182227,4945781,VND
2020-10-26,1008,550000,32,4782971,3826376,VND
2020-05-13,1005,550000,39,5744395,4595516,VND
2020-12-03,1007,700000,22,3316999,2653599,VND
2020-12-03,1007,550000,36,5219690,4175752,VND
2020-10-07,1002,100000,39,6021781,4817424,VND
2020-07-04,1007,550000,42,6254194,5003355,VND
2020-11-25,1004,550000,42,6126358,4901086,VND
2020-05-17,1009,550000,34,4898907,3919125,VND
2020-01-02,1007,550000,37,5444844,4355875,VND
2020-12-19,1004,700000,37,5439934,4351947,VND
2020-05-04,1003,550000,33,5070693,4056554,VND
2020-05-25,1002,550000,28,3996571,3197256,VND
2020-10-02,1006,100000,31,4559733,3647786,VND
2020-08-10,1004,700000,34,4961774,3969419,VND
2020-10-05,1002,700000,31,4811823,3849458,VND
2020-02-19,1001,700000,30,4593519,3674815,VND
2020-08-01,1009,700000,42,6189201,4951360,VND
2020-10-25,1010,100000,33,5165149,4132119,VND
2020-04-23,1008,550000,33,4760536,3808428,VND
2020-06-20,1010,550000,38,5452173,4361738,VND
2020-12-08,1006,550000,33,4848733,3878986,VND
2020-07-11,1008,100000,26,3750327,3000261,VND
2020-11-27,1010,100000,43,6591148,5272918,VND
2020-11-13,1001,100000,35,4987660,3990128,VND
2020-07-06,1007,700000,31,4618238,3694590,VND
2020-08-12,1003,100000,31,4485932,3588745,VND
2020-09-18,1002,550000,26,3736027,2988821,VND
2020-09-07,1005,550000,34,4958264,3966611,VND
2020-04-19,1010,700000,36,5563016,4450412,VND
2020-05-27,1007,550000,23,3570688,2856550,VND
2020-04-05,1004,700000,37,5363620,4290896,VND
2020-12-04,1007,700000,41,5919594,4735675,VND
2020-08-19,1005,100000,36,5625260,4500208,VND
2020-01-14,1004,550000,38,5585245,4468196,VND
2020-03-03,1005,700000,39,5604760,4483808,VND
2020-02-02,1008,100000,41,6232591,4986072,VND
2020-10-19,1007,700000,35,5130673,4104538,VND
2020-03-07,1003,550000,35,5050172,4040137,VND
2020-10-25,1006,100000,37,5712721,4570176,VND
2020-05-22,1002,100000,30,4509144,3607315,VND
2020-07-06,1005,100000,32,4582944,3666355,VND
2020-01-06,1002,100000,37,5403268,4322614,VND
2020-03-12,1010,100000,42,6171155,4936924,VND
2020-09-18,1001,100000,35,5006921,4005536,VND
2020-01-18,1008,550000,36,5462269,4369815,VND
2020-03-08,1004,700000,26,3809851,3047880,VND
2020-12-11,1010,100000,37,5485089,4388071,VND
2020-11-06,1001,100000,29,4492688,3594150,VND
2020-02-26,1002,700000,32,4586665,3669332,VND
2020-07-16,1003,700000,31,4757317,3805853,VND
2020-04-04,1010,700000,42,6130664,4904531,VND
2020-12-06,1005,700000,43,6715987,5372789,VND
2020-09-02,1009,700000,29,4181863,3345490,VND
2020-08-13,1009,550000,46,6824723,5459778,VND
2020-01-28,1007,550000,27,4057005,3245604,VND
2020-01-27,1006,550000,39,5694313,4555450,VND
2020-11-14,1001,700000,41,6263270,5010616,VND
2020-09-26,1008,100000,35,5454173,4363338,VND
2020-08-13,1006,100000,40,5850249,4680199,VND
2020-08-28,1001,100000,42,6523361,5218688,VND
2020-12-07,1002,550000,37,5492150,4393720,VND
2020-03-03,1001,100000,30,4381939,3505551,VND
2020-05-17,1006,550000,26,4075096,3260076,VND
2020-03-20,1005,700000,43,6257363,5005890,VND
2020-09-15,1001,100000,40,5758153,4606522,VND
2020-01-04,1002,550000,35,5261401,4209120,VND
2020-06-23,1001,550000,32,4877278,3901822,VND
2020-06-20,1008,550000,29,4183843,3347074,VND
2020-11-05,1007,550000,42,6064398,4851518,VND
2020-04-03,1008,550000,28,4058577,3246861,VND
2020-12-06,1009,700000,43,6424288,5139430,VND
2020-10-28,1006,100000,52,8036738,6429390,VND
2020-11-20,1004,700000,29,4168056,3334444,VND
2020-12-12,1005,550000,40,5763486,4610788,VND
2020-07-23,1006,700000,39,6087026,4869620,VND
2020-01-19,1006,550000,36,5282607,4226085,VND
2020-07-16,1005,700000,36,5246420,4197136,VND
2020-11-12,1010,100000,25,3865667,3092533,VND
2020-06-14,1002,550000,42,6539445,5231556,VND
2020-05-11,1001,700000,32,4927628,3942102,VND
2020-09-23,1006,550000,29,4143374,3314699,VND
2020-11-09,1010,550000,34,4878715,3902972,VND
2020-01-12,1007,550000,38,5744227,4595381,VND
2020-11-08,1006,100000,38,5603548,4482838,VND
2020-05-21,1008,700000,36,5420922,4336737,VND
2020-06-06,1010,100000,33,4768247,3814597,VND
2020-12-13,1007,100000,48,7390294,5912235,VND
2020-11-10,1005,700000,30,4659969,3727975,VND
2020-07-15,1008,700000,34,5354047,4283237,VND
2020-08-02,1010,100000,28,4091228,3272982,VND
2020-12-02,1009,100000,35,5396800,4317440,VND
2020-10-20,1006,700000,42,6227790,4982232,VND
2020-11-26,1001,100000,47,7220375,5776300,VND
2020-11-27,1004,700000,34,5102351,4081880,VND
2020-09-02,1005,700000,34,4962971,3970376,VND
2020-05-09,1001,550000,36,5433292,4346633,VND
2020-02-07,1002,550000,33,5137463,4109970,VND
2020-11-15,1008,100000,34,5275756,4220604,VND
2020-08-09,1002,550000,36,5605121,4484096,VND
2020-08-06,1008,550000,35,5311360,4249088,VND
2020-12-27,1006,700000,51,7403091,5922472,VND
2020-11-20,1005,100000,25,3792166,3033732,VND
2020-11-25,1001,100000,41,6183575,4946860,VND
2020-07-06,1004,700000,24,3682065,2945652,VND
2020-12-25,1007,550000,34,4873573,3898858,VND
2020-04-07,1008,700000,41,6327549,5062039,VND
2020-09-18,1006,100000,36,5311999,4249599,VND
2020-11-28,1008,100000,35,5457648,4366118,VND
2020-02-11,1009,700000,39,6139138,4911310,VND
2020-12-11,1004,100000,31,4510446,3608356,VND
2020-07-20,1005,100000,31,4504255,3603404,VND
2020-11-28,1004,550000,30,4341038,3472830,VND
2020-01-18,1006,100000,37,5372365,4297892,VND
2020-10-22,1005,100000,28,4039102,3231281,VND
2020-06-17,1010,700000,34,4896862,3917489,VND
2020-08-20,1007,100000,36,5663795,4531036,VND
2020-07-05,1005,100000,39,5753020,4602416,VND
2020-06-15,1002,700000,40,5765666,4612532,VND
2020-10-09,1010,700000,27,4149912,3319929,VND
2020-09-03,1008,100000,31,4753579,3802863,VND
2020-10-07,1003,100000,36,5356092,4284873,VND
2020-04-06,1005,100000,31,4502993,3602394,VND
2020-06-08,1003,550000,33,5050087,4040069,VND
2020-10-21,1008,700000,39,6059038,4847230,VND
